Brand,Niche,Website,Instagram,Marketing Lead,Email,LinkedIn,Stage,Last Touched,Reply?,Notes
Form Nutrition,Supplements,formnutrition.com,@formnutrition,,,,0. Researched,,,
Bulk,Supplements,bulk.com,@bulk,,,,0. Researched,,,
Innermost,Supplements,liveinnermost.com,@liveinnermost,,,,0. Researched,,,
Heights,Longevity,yourheights.com,@yourheights,,,,0. Researched,,,
Symprove,Gut health,symprove.com,@symprove,,,,0. Researched,,,
WellGard,Supplements,wellgard.co.uk,@wellgardsupplements,,,,0. Researched,,,Already worked with - cross-sell
Awesome Supplements,Supplements,awesomesupplements.co.uk,@awesomesupplements,,,,0. Researched,,,Ross Edgley brand
TRIP,Drinks,drinktrip.com,@triplife,,,,0. Researched,,,
Healf,Wellness,healf.com,@healf,,,,0. Researched,,,
ZOE,Health,zoe.com,@zoe,,,,0. Researched,,,
Mori,Kids clothing,babymori.com,@babymori,,,,0. Researched,,,Duo pitch
Yoto,Kids audio,yotoplay.com,@yotoplay,,,,0. Researched,,,Duo pitch
Tonies,Kids audio,tonies.com,@tonies_uk,,,,0. Researched,,,Duo pitch
Frida Baby,Baby,fridababy.com,@fridababy,,,,0. Researched,,,Duo pitch
Snuz,Baby sleep,snuz.co.uk,@snuzpod,,,,0. Researched,,,Duo pitch
Tommee Tippee,Baby,tommeetippee.com,@tommeetippeeuk,,,,0. Researched,,,Duo pitch
Piccolo,Baby food,mylittlepiccolo.com,@mylittlepiccolo,,,,0. Researched,,,Duo pitch
Joseph Joseph,Home,josephjoseph.com,@josephjoseph,,,,0. Researched,,,Duo pitch
Lick,Paint,lick.com,@lickhome,,,,0. Researched,,,Duo pitch (home)
Wild,Deodorant,wearewild.com,@wildrefill,,,,0. Researched,,,
Trip Skincare,Skincare,tripskincare.com,@tripskincare,,,,0. Researched,,,
Hims UK,Mens health,forhims.co.uk,@hims,,,,0. Researched,,,Strong male demo fit
Manual,Mens health,manual.co,@manual,,,,0. Researched,,,Strong male demo fit
Mous,Tech accessories,mous.co,@mousproducts,,,,0. Researched,,,Tech vertical
Monzo,Banking,monzo.com,@monzo,,,,0. Researched,,,
Trading 212,Investing,trading212.com,@trading_212,,,,0. Researched,,,
Plum,Money app,withplum.com,@plumfintech,,,,0. Researched,,,
Octopus Energy,Energy,octopus.energy,@octopus_energy,,,,0. Researched,,,
Notion,Productivity,notion.so,@notionhq,,,,0. Researched,,,SaaS vertical
Loom,Video SaaS,loom.com,@loom,,,,0. Researched,,,SaaS vertical
Castore,Sportswear,castore.com,@castore,,,,0. Researched,,,UK premium activewear
Tala,Activewear,wearetala.com,@tala,,,,0. Researched,,,Duo pitch
Vivobarefoot,Footwear,vivobarefoot.com,@vivobarefoot,,,,0. Researched,,,
On Running,Running,on-running.com,@on_running,,,,0. Researched,,,
Center Parcs,Travel,centerparcs.co.uk,@centerparcsuk,,,,0. Researched,,,Strong duo pitch
Forest Holidays,Travel,forestholidays.co.uk,@forestholidaysuk,,,,0. Researched,,,Strong duo pitch
Haven,Travel,haven.com,@havenholidays,,,,0. Researched,,,Strong duo pitch
